                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.69903,                0.42815,                 1.0128,                0.96358,                0.96338,                0.97858,                0.78026,                0.68361,                0.39913,                0.89234,              0.0092674,              0.0092674,              0.0092674
                     76,                0.69546,                0.43468,                 1.0092,                0.96866,                  0.964,                0.97317,                0.79014,                0.67315,                 0.4005,                0.89573,              0.0092575,              0.0092575,              0.0092575
                     77,                0.69533,                0.42886,                 1.0032,                0.97665,                0.95706,                 0.9744,                0.78095,                0.69742,                0.41234,                 0.9063,              0.0092476,              0.0092476,              0.0092476
                     78,                0.72147,                0.43084,                  1.016,                0.97861,                0.96645,                0.97621,                0.79573,                0.65725,                0.41028,                0.88393,              0.0092377,              0.0092377,              0.0092377
                     79,                0.68577,                0.42159,                 1.0088,                0.97571,                0.96213,                0.97361,                0.78328,                0.67651,                0.41954,                 0.8845,              0.0092278,              0.0092278,              0.0092278
                     80,                0.68836,                0.42135,                 1.0112,                 0.9825,                0.96104,                0.97636,                0.79145,                0.69314,                0.39911,                0.90202,              0.0092179,              0.0092179,              0.0092179
                     81,                0.70615,                0.43178,                 1.0231,                0.97793,                0.96339,                0.97652,                0.79124,                0.67883,                0.41326,                0.89476,               0.009208,               0.009208,               0.009208
                     82,                0.68358,                0.41862,                 1.0084,                0.97051,                0.95973,                0.97376,                0.78898,                 0.6774,                0.40905,                0.89031,              0.0091981,              0.0091981,              0.0091981
                     83,                0.68399,                0.42952,                0.99844,                 0.9827,                0.94765,                0.97544,                 0.7866,                0.70497,                0.41338,                0.91656,              0.0091882,              0.0091882,              0.0091882
                     84,                0.69493,                0.41926,                  1.006,                0.96593,                 0.9567,                0.97175,                0.79236,                0.65653,                0.40929,                0.88625,              0.0091783,              0.0091783,              0.0091783
                     85,                0.67529,                0.41322,                0.99958,                0.97441,                0.95154,                0.97618,                0.78784,                0.69602,                0.40922,                0.91402,              0.0091684,              0.0091684,              0.0091684
                     86,                0.69233,                0.42083,                 1.0042,                0.97438,                0.95964,                0.97817,                 0.8009,                0.67091,                0.39074,                0.89427,              0.0091585,              0.0091585,              0.0091585
                     87,                0.68712,                0.42165,                 0.9948,                0.97774,                0.96432,                0.97673,                0.79359,                 0.6523,                0.40536,                0.88022,              0.0091486,              0.0091486,              0.0091486
                     88,                0.68087,                 0.4148,                 1.0059,                0.97343,                0.96276,                0.97672,                0.79944,                0.66561,                0.41368,                0.89366,              0.0091387,              0.0091387,              0.0091387
                     89,                0.67339,                0.41511,                0.99732,                0.97912,                0.96259,                0.97499,                0.79171,                0.67507,                0.41182,                0.89174,              0.0091288,              0.0091288,              0.0091288
                     90,                 0.6976,                 0.4219,                  1.009,                0.98003,                0.95886,                0.97387,                0.79524,                0.65851,                0.39749,                 0.8815,              0.0091189,              0.0091189,              0.0091189
                     91,                0.66899,                0.41114,                0.99301,                0.97066,                0.96837,                0.97554,                0.79094,                0.66058,                0.38617,                0.88171,               0.009109,               0.009109,               0.009109
                     92,                0.70208,                0.42447,                 1.0134,                0.97107,                0.96338,                0.97456,                0.78143,                0.70339,                0.40735,                0.90974,              0.0090991,              0.0090991,              0.0090991
